normdF = 172.313453656209674  normdF_normal = 172.295834627949716  err = 0.015885016398084
normdF = 161.480795103159267  normdF_normal = 161.463484362696079  err = 0.012024270624179
normdF = 135.864269203802564  normdF_normal = 135.841106901155172  err = 0.032371793880872
normdF = 248.247922985395718  normdF_normal = 248.235093289384508  err = 0.011085661138476
normdF = 130.387610972925813  normdF_normal = 130.362570233401897  err = 0.050123867534994
normdF = 290.196760791937379  normdF_normal = 290.172384141458053  err = 0.006421568206353
normdF = 70.652142130649352  normdF_normal = 70.630351865390480  err = 0.016388526881420
normdF = 111.622061271989921  normdF_normal = 111.604918597900323  err = 0.018461040936777
normdF = 126.265876304833284  normdF_normal = 126.243778682305688  err = 0.030844460017702
normdF = 142.004480473967448  normdF_normal = 141.980300028660309  err = 0.014411074161297
normdF = 175.783193905707776  normdF_normal = 175.758918257151379  err = 0.025104646347897
normdF = 164.691683694849729  normdF_normal = 164.674029329767990  err = 0.016733067811790
normdF = 168.135838423572665  normdF_normal = 168.108969780357512  err = 0.013936115974921
normdF = 156.595030953581926  normdF_normal = 156.575534521659421  err = 0.019513030330021
normdF = 164.289929612888642  normdF_normal = 164.270228013650524  err = 0.011989527288802
normdF = 244.648603303005729  normdF_normal = 244.632644492027083  err = 0.038762671083263
normdF = 167.197651872277959  normdF_normal = 167.183328277283351  err = 0.013530791350771
normdF = 121.507392044251674  normdF_normal = 121.489488905201753  err = 0.020670423381819
normdF = 119.128224420993135  normdF_normal = 119.104037660649823  err = 0.009055958327944
normdF = 127.066512588373953  normdF_normal = 127.030118692565893  err = 0.034289254093855
normdF = 111.322704638872835  normdF_normal = 111.293391730395655  err = 0.016950116459225
normdF = 155.821045604888070  normdF_normal = 155.798872023459381  err = 0.078548279065605
normdF = 252.625617763911009  normdF_normal = 252.609123637985164  err = 0.012220262894767
normdF = 144.039048527898814  normdF_normal = 144.022049929821208  err = 0.047121702039263
normdF = 153.883979631388769  normdF_normal = 153.867392807399483  err = 0.015309502967357
normdF = 141.160999328164564  normdF_normal = 141.138500127642516  err = 0.070341271100548
normdF = 397.233328021472914  normdF_normal = 397.217611557022337  err = 0.010152594872317
normdF = 122.230363986887397  normdF_normal = 122.216096427313062  err = 0.012003989292413
normdF = 132.746501343865162  normdF_normal = 132.721615669626118  err = 0.064304742001727
normdF = 166.183964880493221  normdF_normal = 166.161404802850740  err = 0.102099343493528
normdF = 111.155531061341662  normdF_normal = 111.132651225338734  err = 0.019575100407044
normdF = 165.180098334015582  normdF_normal = 165.163704088415301  err = 0.007528518827048
normdF = 118.670393734650006  normdF_normal = 118.648922571575142  err = 0.008586921027776
normdF = 90.407905703245703  normdF_normal = 90.387056853788778  err = 0.005779799154982
normdF = 137.136407913804419  normdF_normal = 137.125203957000878  err = 0.045826363385036
normdF = 116.792039897020658  normdF_normal = 116.775182391637372  err = 0.012966837976966
normdF = 134.242651423857495  normdF_normal = 134.224188568429952  err = 0.047925681723445
normdF = 248.461965101800558  normdF_normal = 248.442263708248788  err = 0.011304898360232
normdF = 137.969581746390929  normdF_normal = 137.950852212285184  err = 0.017760126350558
normdF = 66.193767459151047  normdF_normal = 66.163134280834797  err = 0.055407300544815
normdF = 229.925369311739900  normdF_normal = 229.911419565570640  err = 0.018793272471826
normdF = 102.774400913019605  normdF_normal = 102.753680633187770  err = 0.009282439901940
normdF = 184.112826589310146  normdF_normal = 184.090589641261801  err = 0.008588824380743
normdF = 97.256501157628449  normdF_normal = 97.231458768902527  err = 0.014828092868309
normdF = 122.962233708663135  normdF_normal = 122.942018402920809  err = 0.024877835875995
normdF = 116.459389661119943  normdF_normal = 116.436098650267269  err = 0.018651792640365
normdF = 139.226291835589677  normdF_normal = 139.211578668592409  err = 0.016358792372786
normdF = 86.324415072403937  normdF_normal = 86.299837673464893  err = 0.051766505138015
normdF = 181.148090050600103  normdF_normal = 181.129300950586554  err = 0.052841579136880
normdF = 141.573468420109151  normdF_normal = 141.541854324484092  err = 0.014346025092620
normdF = 104.128032235124209  normdF_normal = 104.103627052118256  err = 0.013860450938352
normdF = 84.286793471857180  normdF_normal = 84.262491276340356  err = 0.019684924068693
normdF = 137.318202533619768  normdF_normal = 137.297447171008059  err = 0.014964745374619
normdF = 163.909669116254435  normdF_normal = 163.888351016639348  err = 0.011061718330818
normdF = 200.828384326078805  normdF_normal = 200.808001102641384  err = 0.010121562269489
normdF = 112.878935570779021  normdF_normal = 112.859869730388240  err = 0.012162255161706
normdF = 186.326796135544981  normdF_normal = 186.308772610104711  err = 0.038067261927969
normdF = 173.078250584304243  normdF_normal = 173.061758427956931  err = 0.010814371460506
normdF = 154.414614945475137  normdF_normal = 154.398070459073665  err = 0.039526719360796
normdF = 175.665592532208763  normdF_normal = 175.640149745869564  err = 0.011040738079570
normdF = 128.691110903669482  normdF_normal = 128.664987086078980  err = 0.012687814338518
normdF = 98.872242723496285  normdF_normal = 98.853196956197678  err = 0.010291710023040
normdF = 66.127657177143277  normdF_normal = 66.100702381898955  err = 0.011753366442723
normdF = 129.701788503184986  normdF_normal = 129.682729365526740  err = 0.045214062733962
normdF = 118.876724657187282  normdF_normal = 118.858709173083625  err = 0.009201829197141
normdF = 126.244660714719984  normdF_normal = 126.211180892503080  err = 0.013656705606372
normdF = 84.455060476228994  normdF_normal = 84.429536023545808  err = 0.010302826978851
normdF = 93.841752206831600  normdF_normal = 93.810357063858660  err = 0.008172874202722
normdF = 93.463546484020142  normdF_normal = 93.447510345270558  err = 0.013725023051439
normdF = 172.087651205630692  normdF_normal = 172.069679417958866  err = 0.026120509488269
normdF = 234.393195246378497  normdF_normal = 234.363650817742240  err = 0.020037451081089
normdF = 245.970006692578579  normdF_normal = 245.953984199420688  err = 0.009538999653178
normdF = 178.059338842004280  normdF_normal = 178.047096073529758  err = 0.041558794936357
normdF = 277.854626183881237  normdF_normal = 277.844732557079055  err = 0.011934124383697
normdF = 76.787809755146412  normdF_normal = 76.764747183658670  err = 0.012545359241069
normdF = 92.268411759785877  normdF_normal = 92.243377727763487  err = 0.018207700850480
normdF = 144.098460215620889  normdF_normal = 144.075755175024511  err = 0.018646232279727
normdF = 132.159160575691430  normdF_normal = 132.135039557393753  err = 0.194280407185285
normdF = 292.157826247395462  normdF_normal = 292.144177594130667  err = 0.039344222674522
normdF = 79.837902928787244  normdF_normal = 79.813497710054094  err = 0.013218632573659
normdF = 120.563136151641842  normdF_normal = 120.549452933411558  err = 0.008129226769896
normdF = 69.617826277518560  normdF_normal = 69.593815403927422  err = 0.024040201598541
normdF = 231.852831481508019  normdF_normal = 231.838158549224744  err = 0.008155402296100
normdF = 112.763152617377699  normdF_normal = 112.741771151611914  err = 0.011336248976030
normdF = 135.949573303498369  normdF_normal = 135.930397810593007  err = 0.010892885307436
normdF = 102.317750137914459  normdF_normal = 102.301945643845286  err = 0.026474962229106
normdF = 182.780143321318320  normdF_normal = 182.762203019420213  err = 0.011572966786590
normdF = 75.875882470195037  normdF_normal = 75.849179109448500  err = 0.147433224746441
normdF = 308.979355955785820  normdF_normal = 308.962414607064886  err = 0.047247344513544
normdF = 125.219710605333120  normdF_normal = 125.198698857440888  err = 0.019125338010334
normdF = 196.518613012181021  normdF_normal = 196.499503626359569  err = 0.011614899004498
normdF = 112.248099116659375  normdF_normal = 112.233167807906185  err = 0.018016731687413
normdF = 270.978882727201949  normdF_normal = 270.962740758536540  err = 0.009549040601260
normdF = 98.198304633456274  normdF_normal = 98.168972431951758  err = 0.011114473487022
normdF = 127.246044160649490  normdF_normal = 127.220125548851783  err = 0.020622520904249
normdF = 145.993241963349220  normdF_normal = 145.972670552881397  err = 0.019043605425927
normdF = 117.162605206563981  normdF_normal = 117.143165972264015  err = 0.010007085437843
normdF = 135.724756077747713  normdF_normal = 135.697764350165812  err = 0.024069148036515
normdF = 156.420254343477666  normdF_normal = 156.400205530680154  err = 0.022252785857984
normdF = 85.502508805490919  normdF_normal = 85.488812238689420  err = 0.007610390653327
normdF = 91.504043491700031  normdF_normal = 91.469568470914922  err = 0.021782881448910
normdF = 155.554185392707438  normdF_normal = 155.536450325887955  err = 0.008704870955129
normdF = 136.372568351502963  normdF_normal = 136.359260379729022  err = 0.013811180348353
normdF = 91.473966308694045  normdF_normal = 91.447287950670642  err = 0.038552527691841
normdF = 125.279329426156949  normdF_normal = 125.261069346341344  err = 0.015591009648539
normdF = 77.676839051214003  normdF_normal = 77.659817617067716  err = 0.009083575510280
normdF = 109.549197669870182  normdF_normal = 109.534201949482394  err = 0.046397792888487
normdF = 136.435983560977462  normdF_normal = 136.416001800934140  err = 0.015101794976403
normdF = 130.034513092408133  normdF_normal = 130.020606799765716  err = 0.014481711162738
normdF = 110.145556000869249  normdF_normal = 110.129656559090805  err = 0.026842287929501
normdF = 93.083682391546319  normdF_normal = 93.056124100801199  err = 0.005263037371898
normdF = 68.257112719915952  normdF_normal = 68.240618636202981  err = 0.008271773577609
normdF = 63.469022012403670  normdF_normal = 63.438845180834697  err = 0.009614703905995
normdF = 67.594184761209320  normdF_normal = 67.581377643047929  err = 0.006630043019334
normdF = 75.440827785767112  normdF_normal = 75.415222628985447  err = 0.009777080256117
normdF = 106.894999541830671  normdF_normal = 106.876390035002458  err = 0.024299281258238
normdF = 145.766091256971748  normdF_normal = 145.742943800346609  err = 0.024819620669192
normdF = 76.624371386255120  normdF_normal = 76.596442151738174  err = 0.012073717354191
normdF = 112.796625676832022  normdF_normal = 112.781412227396217  err = 0.012308181062757
