normdF = 1162.524540649100800  normdF_normal = 1161.391335193498435  err = 0.110779460435973
normdF = 1147.152860695328627  normdF_normal = 1146.388812433614476  err = 0.059459404220276
normdF = 1113.189555721298802  normdF_normal = 1112.307746178646994  err = 0.054061532235599
normdF = 1242.438411615800760  normdF_normal = 1241.724130836008044  err = 0.024133056803381
normdF = 1091.600246923969053  normdF_normal = 1090.826614556657887  err = 0.104610168860949
normdF = 1779.678047976053676  normdF_normal = 1778.656781877322146  err = 0.031245769756421
normdF = 1600.989612109719246  normdF_normal = 1600.142618994371560  err = 0.021965491957257
normdF = 902.293188386536826  normdF_normal = 901.233521683539948  err = 0.049506995978280
normdF = 1723.201579994487247  normdF_normal = 1722.667314614981024  err = 0.037192116059757
normdF = 1257.451167589626721  normdF_normal = 1256.522586800665295  err = 0.039668145847996
normdF = 1760.737588695428258  normdF_normal = 1759.921333653211377  err = 0.034127744970761
normdF = 1296.226208642183792  normdF_normal = 1295.528011818888217  err = 0.043942020729581
normdF = 1677.556785983311102  normdF_normal = 1676.601397878509943  err = 0.090746147630429
normdF = 2208.756605181737996  normdF_normal = 2207.889848427216748  err = 0.025354048094860
normdF = 998.888060760590861  normdF_normal = 997.916817966514714  err = 0.063454542884896
normdF = 2455.447208049470191  normdF_normal = 2454.693916334002097  err = 0.136579173187016
normdF = 1409.865035243693001  normdF_normal = 1409.229319045106195  err = 0.041421198780472
normdF = 1489.362216410143219  normdF_normal = 1488.651061732592552  err = 0.046042808480968
normdF = 1780.746870994933943  normdF_normal = 1779.554412112664522  err = 0.043974254558063
normdF = 1200.545807640963858  normdF_normal = 1199.891109126455149  err = 0.027476145566749
normdF = 821.800865409212633  normdF_normal = 820.910293935948289  err = 0.098484594524897
normdF = 2818.822848056848670  normdF_normal = 2818.259118953960296  err = 0.056471286771463
normdF = 1255.539736687694585  normdF_normal = 1254.488743152707684  err = 0.033675250444385
normdF = 1259.231260378094930  normdF_normal = 1258.621962703033660  err = 0.061698614565369
normdF = 1822.767102285910369  normdF_normal = 1821.623811155047179  err = 0.091090688141095
