normdF = 125.985655867838688  normdF_normal = 125.958402144912171  err = 0.098462323545823
normdF = 72.326605228881775  normdF_normal = 72.292969585134259  err = 0.018970075540574
normdF = 68.682862981487915  normdF_normal = 68.655082110276936  err = 0.017506634486108
normdF = 156.390039412926257  normdF_normal = 156.367652247574824  err = 0.007077700188715
normdF = 96.250919020879522  normdF_normal = 96.206792260057711  err = 0.010316163895679
normdF = 129.234007021846651  normdF_normal = 129.217893657387151  err = 0.021986575084860
normdF = 89.337687210138114  normdF_normal = 89.300489209706228  err = 0.103266283059710
normdF = 232.920886851093627  normdF_normal = 232.905758062446097  err = 0.067069896997917
normdF = 125.484835619252834  normdF_normal = 125.462450427957663  err = 0.037229075208243
normdF = 120.391094146409259  normdF_normal = 120.368364171906904  err = 0.020390511774150
normdF = 103.129224587525187  normdF_normal = 103.104205711882145  err = 0.018784771064307
normdF = 106.204736792505614  normdF_normal = 106.178583429276046  err = 0.016157478293627
normdF = 82.431031241938229  normdF_normal = 82.395432041773233  err = 0.017409365612351
normdF = 59.922508958705436  normdF_normal = 59.898185862998886  err = 0.026618278983455
normdF = 106.708873354303378  normdF_normal = 106.679103693323114  err = 0.035166396065700
normdF = 267.993346493312856  normdF_normal = 267.977711493414176  err = 0.014120114700256
normdF = 78.829167384422774  normdF_normal = 78.799229039047546  err = 0.053970828724226
normdF = 84.322566043151312  normdF_normal = 84.301177878415459  err = 0.022159189157861
normdF = 79.300307602397453  normdF_normal = 79.273128395815291  err = 0.021223879782856
normdF = 276.222628450195714  normdF_normal = 276.202881517942615  err = 0.012109459624900
normdF = 78.371245680733267  normdF_normal = 78.342877838107924  err = 0.014066191369575
normdF = 185.772535023395477  normdF_normal = 185.748418174762492  err = 0.017864655891806
normdF = 84.930088017555846  normdF_normal = 84.890345762128064  err = 0.011236101936924
normdF = 55.833505444598558  normdF_normal = 55.797471374088396  err = 0.365467071888036
normdF = 124.972328028462286  normdF_normal = 124.959570861656672  err = 0.183013680917319
normdF = 54.078642387341986  normdF_normal = 54.051128815991191  err = 0.077097276089223
normdF = 72.687251396194114  normdF_normal = 72.664447676944505  err = 0.043624659961631
normdF = 66.140816174739655  normdF_normal = 66.118080400001432  err = 0.018900578256969
normdF = 82.442138752867663  normdF_normal = 82.408489313978052  err = 0.006958974351989
normdF = 73.381500208477831  normdF_normal = 73.355937212858919  err = 0.016173503269783
normdF = 142.924821167923795  normdF_normal = 142.896907639398137  err = 0.018156311987167
normdF = 92.376748793356541  normdF_normal = 92.335034666825678  err = 0.051871055341724
normdF = 116.312547877158451  normdF_normal = 116.293364471234028  err = 0.007296642332127
normdF = 75.326950880295925  normdF_normal = 75.286455404276950  err = 0.022441968572374
normdF = 88.116565504574282  normdF_normal = 88.097868944903041  err = 0.011781791818292
normdF = 111.399510115478492  normdF_normal = 111.367542996372876  err = 0.006959275781933
normdF = 151.312584294505143  normdF_normal = 151.287652865540224  err = 0.082806565502067
normdF = 203.837469019595488  normdF_normal = 203.807986402867812  err = 0.011140127935919
normdF = 79.003552290042293  normdF_normal = 78.967562206221984  err = 0.026365295846427
normdF = 151.178272428802387  normdF_normal = 151.148731213163813  err = 0.006975431422445
normdF = 78.087353651232604  normdF_normal = 78.062968739049879  err = 0.049996183679014
normdF = 204.413500132413418  normdF_normal = 204.387708543205235  err = 0.018829803194863
normdF = 73.003757378813802  normdF_normal = 72.976289890585747  err = 0.008918555284029
normdF = 75.193108829288477  normdF_normal = 75.160064019051035  err = 0.005981858948357
normdF = 77.979734175139285  normdF_normal = 77.958421402507625  err = 0.138397630747643
normdF = 103.852436069149661  normdF_normal = 103.827144997738515  err = 0.041652092440377
normdF = 110.543743141694108  normdF_normal = 110.521219548730684  err = 0.008669611493183
normdF = 87.400277544227805  normdF_normal = 87.382377978031968  err = 0.008311587241829
normdF = 66.782558858148263  normdF_normal = 66.751160006187689  err = 0.187703806495649
